설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2012,G46***,11,기타 가공식품 도매업,소기업,기타,경기 하남시,20억미만,20억미만,10억미만,12.1,5.28,0.2,20억미만,10억미만,10억미만,12.1,5.39,0.2,20억미만,10억미만,10억미만,12.7,4.65,0.18,20억미만,10억미만,10억미만,16.1,,0.15,20억미만,10억미만,10억미만,24.4,,0.12,부
2012,C31***,11,선박 구성 부분품 제조업,소기업,기타,경상남도 거제시,50억미만,20억미만,30억미만,5.86,86.2,0.59,50억미만,20억미만,30억미만,5.99,79.4,0.53,50억미만,20억미만,30억미만,4.61,93.7,0.68,40억미만,20억미만,30억미만,4.93,,0.65,50억미만,20억미만,30억미만,5.6,,0.58,부
2012,C24***,11,그 외 기타 1차 철강 제조업,소기업,기타,경남 김해시,60억미만,40억미만,20억미만,2.59,16,0.78,50억미만,40억미만,20억미만,2.55,13.5,0.76,50억미만,40억미만,20억미만,2.17,16.3,0.87,40억미만,30억미만,20억미만,2.65,,0.81,50억미만,30억미만,20억미만,1.63,,1.12,여
2012,G46***,11,기타 신선식품 및 단순 가공식품 도매업,중기업,기타,서울특별시 서초구,120억미만,30억미만,90억미만,5.61,15.8,0.97,110억미만,30억미만,80억미만,5.74,18,0.88,110억미만,30억미만,80억미만,8.09,15.9,0.54,100억미만,40억미만,60억미만,7.77,,0.55,70억미만,30억미만,50억미만,7.31,,0.49,부
2012,C30***,11,자동차용 신품 조향장치 및 현가장치 제조업,소기업,기타,경남 진주시,30억미만,10억미만,20억미만,3.99,18.6,1.08,30억미만,10억미만,20억미만,4.24,16.4,0.91,30억미만,20억미만,20억미만,5.47,13.4,0.76,30억미만,20억미만,20억미만,6.14,,0.8,30억미만,20억미만,20억미만,4.97,18,0.97,부
2012,C28***,11,기타 가정용 전기기기 제조업,소기업,외감법인,경기 화성시,170억미만,100억미만,80억미만,5.61,9.06,0.41,170억미만,100억미만,70억미만,6.06,12.6,0.4,200억미만,160억미만,40억미만,2.7,5.15,0.49,100억미만,60억미만,40억미만,4.52,,0.42,80억미만,50억미만,30억미만,4.14,,0.5,부
2012,G46***,11,낙농품 및 동ㆍ식물성 유지 도매업,소기업,기타,경기도 김포시,70억미만,50억미만,30억미만,2.35,12.7,0.8,70억미만,40억미만,30억미만,2.76,11.3,0.66,60억미만,40억미만,30억미만,3.4,12.3,0.58,60억미만,40억미만,20억미만,3.32,,0.54,40억미만,30억미만,20억미만,4.56,14.8,0.39,부
2012,G46***,11,통신ㆍ방송장비 및 부품 도매업,중기업,기타,서울특별시 서초구,40억미만,30억미만,10억미만,4.82,6.24,0.29,40억미만,40억미만,10억미만,7.7,3.7,0.17,40억미만,30억미만,10억미만,7.03,3.87,0.19,40억미만,40억미만,10억미만,8.86,,0.15,40억미만,40억미만,10억미만,11.9,3.16,0.22,부
2004,J58***,11,시스템 소프트웨어 개발 및 공급업,소기업,기타,대전광역시 유성구,70억미만,40억미만,30억미만,2.62,29.8,1.65,40억미만,20억미만,30억미만,3.32,33,1.43,50억미만,30억미만,30억미만,3.11,27.2,1.3,40억미만,20억미만,30억미만,2.82,14.3,1.06,50억미만,20억미만,30억미만,2.58,28.6,1.47,부
2002,C22***,11,그 외 기타 플라스틱 제품 제조업,중기업,외감법인,전남 함평군,600억미만,430억미만,180억미만,0.36,32.9,4.09,520억미만,350억미만,170억미만,0.45,37.6,3.53,510억미만,350억미만,160억미만,0.55,29.5,2.99,430억미만,280억미만,160억미만,1.07,,1.69,430억미만,300억미만,140억미만,0.87,,1.92,부
