설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2005,C24***,11,"기타 비철금속 제련, 정련 및 합금 제조업",소기업,기타,인천 남동구,40억미만,20억미만,30억미만,15.7,11.6,1.18,50억미만,20억미만,30억미만,10.1,8.77,1.01,50억미만,30억미만,30억미만,13.6,6.07,0.77,50억미만,20억미만,30억미만,12.3,,0.79,50억미만,20억미만,30억미만,6.88,8.62,1.19,부
1997,F42***,11,콘크리트 및 철근 공사업,중기업,기타,경기도 안양시,120억미만,70억미만,60억미만,6.14,27.1,0.43,130억미만,70억미만,60억미만,6.66,22.9,0.46,120억미만,60억미만,60억미만,7,23,0.48,110억미만,60억미만,60억미만,8.17,,0.39,100억미만,60억미만,40억미만,13,17.3,0.29,부
2005,G46***,11,"골재, 벽돌 및 시멘트 도매업",소기업,기타,인천 남동구,120억미만,70억미만,50억미만,2.44,3.99,0.7,100억미만,60억미만,50억미만,3.65,4.08,0.62,110억미만,60억미만,50억미만,2.96,2.77,0.68,110억미만,70억미만,50억미만,1.89,,0.94,100억미만,60억미만,40억미만,1.73,,1.13,여
2004,C28***,11,"전기회로 개폐, 보호장치 제조업",중기업,기타,경기도 성남시,180억미만,120억미만,60억미만,2.11,18.9,1.03,180억미만,130억미만,60억미만,1.81,14.8,1.06,190억미만,140억미만,60억미만,1.65,22.6,1.27,120억미만,70억미만,50억미만,3.03,,0.78,120억미만,70억미만,50억미만,3.56,,0.78,여
2001,F42***,11,배관 및 냉ㆍ난방 공사업,소기업,기타,경기도 성남시,20억미만,10억미만,10억미만,7.34,36.7,0.59,20억미만,10억미만,10억미만,9.36,27.2,0.54,20억미만,10억미만,10억미만,5.22,33.7,0.8,20억미만,10억미만,10억미만,69,,0.54,20억미만,10억미만,20억미만,20.1,,0.75,부
2005,C31***,11,선박 구성 부분품 제조업,중기업,외감법인,경남 고성군,510억미만,370억미만,140억미만,1.23,19.6,1.29,530억미만,400억미만,130억미만,1.32,20.8,1.2,520억미만,430억미만,90억미만,0.76,9.39,1.84,430억미만,310억미만,120억미만,0.78,,2.06,450억미만,300억미만,150억미만,1.16,,1.47,부
2005,G46***,11,기타 산업용 기계 및 장비 도매업,소기업,기타,서울 영등포구,20억미만,20억미만,10억미만,2.3,21.3,0.67,20억미만,20억미만,10억미만,1.94,24.5,0.85,20억미만,10억미만,10억미만,3.8,20.3,0.5,20억미만,10억미만,10억미만,3.43,,0.63,20억미만,20억미만,10억미만,3.14,16.5,0.62,부
1992,C10***,11,기타 과실ㆍ채소 가공 및 저장 처리업,소기업,기타,경상남도 함양군,80억미만,50억미만,40억미만,2.32,10.2,1.03,80억미만,40억미만,40억미만,2.58,11,0.96,80억미만,50억미만,40억미만,2.71,8.01,0.77,70억미만,40억미만,30억미만,2.94,8.67,0.74,60억미만,40억미만,30억미만,2.99,9.53,0.69,부
2005,C29***,11,주형 및 금형 제조업,소기업,기타,부산 사하구,40억미만,20억미만,30억미만,2.24,47.1,1.06,50억미만,30억미만,20억미만,2.01,44.8,1.18,40억미만,30억미만,20억미만,2.06,38.5,1.08,40억미만,30억미만,20억미만,1.63,,1.18,40억미만,20억미만,20억미만,1.53,41.7,1.2,부
2005,C26***,11,그 외 기타 전자부품 제조업,소기업,기타,경기도 군포시,40억미만,20억미만,30억미만,3.12,16.9,1.22,40억미만,20억미만,30억미만,2.73,17.2,1.37,50억미만,20억미만,30억미만,2.55,15.8,1.21,50억미만,20억미만,30억미만,2.12,,1.28,50억미만,20억미만,30억미만,2.19,,1.22,부
2003,C31***,11,선박 구성 부분품 제조업,중기업,외감법인,부산 강서구,750억미만,500억미만,250억미만,1.23,19.9,1.72,690억미만,430억미만,270억미만,1.17,21.9,1.76,610억미만,440억미만,180억미만,0.95,22.5,1.91,480억미만,310억미만,170억미만,1.17,,1.56,470억미만,310억미만,170억미만,1.11,,1.67,여
2004,G46***,11,가전제품 및 부품 도매업,소기업,기타,대구 북구,20억미만,20억미만,10억미만,0.85,11.4,1.89,20억미만,20억미만,10억미만,0.9,15.1,1.9,20억미만,20억미만,10억미만,1.13,10.2,1.47,20억미만,20억미만,10억미만,1.11,,1.56,20억미만,20억미만,10억미만,1.11,,1.38,부
2005,C29***,11,주형 및 금형 제조업,중기업,외감법인,경기도 화성시,240억미만,210억미만,40억미만,2.44,26.3,0.9,260억미만,230억미만,40억미만,2.31,29.8,1.03,230억미만,220억미만,20억미만,1.72,17.8,1.06,240억미만,180억미만,60억미만,1.98,,0.9,280억미만,210억미만,80억미만,3.29,,0.7,여
2005,G46***,11,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",소기업,기타,경기도 하남시,30억미만,30억미만,10억미만,2.05,15.8,0.75,30억미만,20억미만,10억미만,2.51,16,0.66,30억미만,20억미만,10억미만,3.07,3.89,0.56,40억미만,20억미만,20억미만,3.22,,0.65,40억미만,20억미만,20억미만,3.53,,0.6,부
2004,C29***,11,산업용 로봇 제조업,소기업,기타,경기도 수원시,90억미만,50억미만,50억미만,0.8,68.3,2.46,120억미만,90억미만,40억미만,0.54,61.4,2.74,120억미만,90억미만,40억미만,0.71,52,2.1,80억미만,40억미만,40억미만,1.66,,1.26,70억미만,40억미만,30억미만,1.98,,1.09,부
2004,G46***,11,운동 및 경기용품 도매업,소기업,기타,경기도 고양시,60억미만,40억미만,20억미만,1.61,21.8,1.35,50억미만,30억미만,20억미만,3.73,19.5,0.88,40억미만,20억미만,20억미만,6.14,15.3,0.49,30억미만,20억미만,20억미만,5.9,,0.52,30억미만,20억미만,20억미만,4.12,,0.62,부
2004,C26***,11,기타 무선 통신장비 제조업,소기업,기타,서울 금천구,120억미만,80억미만,40억미만,1.15,20.8,1.51,120억미만,90억미만,40억미만,1.71,10.6,1.03,140억미만,100억미만,40억미만,1.51,14.6,1.29,130억미만,90억미만,50억미만,1.81,,1.13,60억미만,20억미만,50억미만,,,0.54,부
2005,G46***,11,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,소기업,기타,경기 광명시,40억미만,20억미만,20억미만,3.06,20.2,0.95,40억미만,20억미만,20억미만,4.42,20,0.77,40억미만,20억미만,20억미만,4.78,20.4,0.74,30억미만,20억미만,20억미만,5.72,,0.6,30억미만,20억미만,20억미만,8.67,,0.48,부
2001,N74***,11,사업시설 유지ㆍ관리 서비스업,중기업,기타,광주광역시 서구,230억미만,110억미만,130억미만,8.72,3.82,0.31,220억미만,110억미만,120억미만,8.65,4.97,0.3,210억미만,100억미만,110억미만,8.1,4.15,0.31,210억미만,110억미만,110억미만,7.02,,0.34,170억미만,70억미만,100억미만,10.8,,0.28,여
2004,C30***,11,그 외 자동차용 신품 부품 제조업,중기업,외감법인,경상북도 칠곡군,210억미만,180억미만,30억미만,8.32,8.87,0.21,190억미만,170억미만,20억미만,8.04,10.7,0.2,170억미만,180억미만,00억미만,6.04,12,0.23,130억미만,170억미만,-30억미만,3.78,,0.26,130억미만,180억미만,-50억미만,2.15,,0.4,여
2004,G46***,11,기타 화학물질 및 화학제품 도매업,소기업,기타,인천광역시 서구,100억미만,70억미만,30억미만,1.85,11.7,0.97,100억미만,70억미만,30억미만,2.22,9.48,0.77,100억미만,70억미만,30억미만,2.63,9.8,0.64,100억미만,70억미만,30억미만,2,,0.81,90억미만,70억미만,30억미만,1.48,,1.05,부
1998,C30***,11,자동차용 신품 동력전달장치 제조업,중기업,외감법인,울산광역시 울주군,500억미만,310억미만,200억미만,0.52,63.5,3.25,370억미만,250억미만,130억미만,0.62,70.9,2.63,360억미만,240억미만,120억미만,0.65,77.9,2.71,340억미만,230억미만,110억미만,0.66,,2.41,360억미만,260억미만,110억미만,0.66,,2.51,여
2005,C26***,11,기타 음향기기 제조업,중기업,외감법인,경기 성남시,370억미만,170억미만,210억미만,3.12,-11,1.23,370억미만,190억미만,180억미만,2.39,16.3,1.24,350억미만,180억미만,170억미만,2.29,-12,1.26,340억미만,160억미만,190억미만,2.22,,1.33,310억미만,140억미만,180억미만,3.33,,0.88,여
2005,F42***,11,포장 공사업,중기업,기타,서울 강동구,50억미만,10억미만,40억미만,187,35.1,0.25,60억미만,20억미만,40억미만,186,46.5,0.3,60억미만,20억미만,40억미만,205,12.4,0.26,80억미만,50억미만,40억미만,153,,0.49,70억미만,20억미만,60억미만,,24.8,0.91,부
2003,J58***,11,시스템 소프트웨어 개발 및 공급업,중기업,기타,서울 금천구,40억미만,30억미만,20억미만,4.72,13.2,0.6,40억미만,30억미만,20억미만,5.29,11.6,0.64,50억미만,40억미만,20억미만,7.73,11.8,0.57,50억미만,40억미만,10억미만,4.1,,0.64,40억미만,30억미만,10억미만,3.87,12.6,0.68,부
1996,G46***,11,정밀기기 및 과학기기 도매업,소기업,기타,경기 성남시,100억미만,40억미만,60억미만,4.08,23.7,0.83,90억미만,40억미만,60억미만,3.4,28.8,1.13,90억미만,40억미만,60억미만,4.94,20.3,0.83,70억미만,20억미만,50억미만,8.04,,0.83,60억미만,10억미만,50억미만,32,32.5,0.84,부
2004,G46***,11,"채소류, 서류 및 향신작물류 도매업",중기업,기타,전라남도 담양군,90억미만,60억미만,40억미만,3.93,20.4,0.63,80억미만,50억미만,40억미만,3.67,26,0.8,70억미만,40억미만,30억미만,3.89,21.1,0.68,70억미만,40억미만,30억미만,3.45,,0.74,50억미만,30억미만,20억미만,3.83,23.7,0.62,여
2001,G46***,11,기타 가공식품 도매업,중기업,기타,경기 용인시,140억미만,80억미만,70억미만,4.28,8.16,0.71,180억미만,120억미만,70억미만,2.3,0.61,0.78,160억미만,90억미만,80억미만,4.47,5.12,0.64,150억미만,70억미만,80억미만,7.26,,0.41,180억미만,110억미만,70억미만,7.76,,0.31,부
2001,F42***,11,내부 통신배선 공사업,소기업,기타,경기도 화성시,30억미만,10억미만,30억미만,13.3,32.5,0.17,30억미만,10억미만,20억미만,21.7,33.3,0.21,30억미만,10억미만,20억미만,11.7,33.2,0.52,30억미만,10억미만,20억미만,4.94,,0.66,30억미만,20억미만,20억미만,4.46,14.4,0.51,여
1999,G46***,11,과실류 도매업,중기업,기타,제주 서귀포시,380억미만,260억미만,120억미만,0.77,17.4,2.01,340억미만,230억미만,120억미만,1.13,4.5,1.53,370억미만,230억미만,140억미만,0.95,16.1,1.86,270억미만,140억미만,130억미만,1.68,,1.29,300억미만,150억미만,160억미만,1.98,,1.29,부
2005,C25***,11,구조용 금속 판제품 및 공작물 제조업,소기업,기타,경기 부천시,80억미만,30억미만,50억미만,5.59,59.2,0.72,70억미만,30억미만,50억미만,5.76,18.1,0.71,60억미만,30억미만,40억미만,4.92,17.5,0.72,60억미만,30억미만,40억미만,4.96,,0.63,50억미만,20억미만,30억미만,4.98,,0.75,여
2004,G46***,11,그 외 기타 상품 전문 도매업,소기업,기타,전북특별자치도 전주시,20억미만,20억미만,10억미만,9.51,7.98,0.27,20억미만,20억미만,10억미만,8.56,10.3,0.31,20억미만,20억미만,10억미만,7.03,9.66,0.35,20억미만,20억미만,10억미만,6.65,9.63,0.34,20억미만,20억미만,10억미만,5.73,9.25,0.38,여
2004,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,소기업,기타,서울 구로구,20억미만,10억미만,10억미만,17.6,5,0.47,20억미만,10억미만,10억미만,17.5,8.74,0.43,10억미만,10억미만,10억미만,8.88,7.26,0.52,20억미만,10억미만,10억미만,2.12,,1.05,20억미만,10억미만,10억미만,1.66,,1.22,부
2003,C19***,11,기타 석유정제물 재처리업,소기업,기타,충북 진천군,120억미만,50억미만,70억미만,3.05,41,1.09,120억미만,50억미만,80억미만,2.51,46,1.37,140억미만,60억미만,80억미만,2.55,43.2,1.15,130억미만,70억미만,60억미만,1.63,,1.35,120억미만,70억미만,50억미만,0.71,32.3,2.64,부
2005,C21***,11,한의약품 제조업,소기업,외감법인,서울특별시 강남구,1180억미만,680억미만,510억미만,1.34,23.4,1.76,1220억미만,720억미만,510억미만,1.22,9.68,2.09,1090억미만,800억미만,290억미만,0.51,11.9,3.12,790억미만,620억미만,170억미만,0.7,,2.2,540억미만,390억미만,160억미만,1.16,,1.41,여
2005,C17***,11,판지 상자 및 용기 제조업,소기업,기타,경기도 이천시,100억미만,90억미만,20억미만,0.76,30.8,1.88,120억미만,100억미만,20억미만,0.63,29.3,2.1,120억미만,110억미만,20억미만,0.64,25.1,1.92,100억미만,80억미만,20억미만,0.78,,1.64,60억미만,50억미만,20억미만,1.01,36.2,1.38,부
2003,C24***,11,그 외 기타 1차 철강 제조업,중기업,외감법인,경기도 안산시,240억미만,150억미만,90억미만,3.38,9.44,0.68,220억미만,130억미만,90억미만,3.6,8.18,0.65,220억미만,140억미만,90억미만,3.26,10,0.65,220억미만,150억미만,80억미만,3.49,,0.74,190억미만,120억미만,70억미만,2.18,,1.05,부
1999,C28***,11,기타 전기 변환장치 제조업,소기업,기타,충청북도 진천군,80억미만,30억미만,50억미만,2.33,24.4,1.56,80억미만,40억미만,50억미만,2.5,23.4,1.48,80억미만,40억미만,50억미만,1.49,27.5,2.19,80억미만,30억미만,50억미만,1.67,,2.04,80억미만,30억미만,50억미만,1.3,,2.43,부
2005,Q86***,11,요양 병원,중기업,기타,대구 북구,160억미만,120억미만,40억미만,1.58,54.8,1.38,160억미만,120억미만,40억미만,1.38,54,1.47,160억미만,130억미만,40억미만,1.18,53.5,1.66,160억미만,130억미만,40억미만,1.14,,1.65,160억미만,120억미만,40억미만,1.12,,1.67,여
1997,F41***,11,사무ㆍ상업용 및 공공기관용 건물 건설업,중기업,기타,인천광역시 남동구,100억미만,50억미만,60억미만,1.68,30.1,1.44,110억미만,50억미만,60억미만,2.4,30.1,0.9,110억미만,60억미만,60억미만,5.2,16.4,0.47,80억미만,30억미만,60억미만,6.16,,0.7,90억미만,30억미만,60억미만,8.54,,0.67,부
2001,G46***,11,운동 및 경기용품 도매업,중기업,기타,서울특별시 성동구,110억미만,70억미만,50억미만,3.95,25.8,0.73,100억미만,70억미만,30억미만,2.9,16.8,0.62,70억미만,50억미만,20억미만,3.03,15,0.64,50억미만,30억미만,20억미만,2.94,,0.74,40억미만,30억미만,20억미만,3.13,,0.66,부
2003,F41***,11,기타 토목시설물 건설업,중기업,기타,전남 순천시,70억미만,30억미만,60억미만,13.3,29.8,0.42,70억미만,20억미만,60억미만,242,21.5,0.28,60억미만,20억미만,50억미만,220,17.8,0.28,70억미만,10억미만,60억미만,364,17.4,0.5,70억미만,20억미만,60억미만,410,,0.29,부
2002,N75***,11,상용 인력 공급 및 인사관리 서비스업,중기업,기타,대전광역시 동구,20억미만,10억미만,20억미만,19.9,81.5,0.26,20억미만,10억미만,10억미만,21.6,90.8,0.38,20억미만,10억미만,10억미만,21.7,82.3,0.29,20억미만,10억미만,10억미만,5.51,,0.76,20억미만,10억미만,10억미만,10,,0.48,부
2004,C28***,11,전구 및 램프 제조업,소기업,기타,경기도 부천시,60억미만,40억미만,30억미만,4.13,29,0.59,60억미만,40억미만,30억미만,6.23,23.1,0.56,50억미만,30억미만,30억미만,7.65,12.4,0.51,50억미만,30억미만,30억미만,5.05,,0.63,60억미만,40억미만,20억미만,2.55,,0.99,부
2004,C24***,11,"도금, 착색 및 기타 표면처리강재 제조업",중기업,외감법인,전라북도 군산시,270억미만,220억미만,60억미만,2.21,11.6,0.84,260억미만,210억미만,60억미만,3.41,11.2,0.69,240억미만,200억미만,50억미만,3.32,13.7,0.65,220억미만,200억미만,30억미만,3.79,7.57,0.52,210억미만,200억미만,20억미만,1.9,1.26,0.94,부
2005,C20***,11,합성수지 및 기타 플라스틱 물질 제조업,소기업,기타,경기 화성시,50억미만,30억미만,30억미만,2.14,20.2,1.14,50억미만,30억미만,30억미만,2.7,15.3,0.88,60억미만,40억미만,30억미만,1.66,17,1.22,60억미만,40억미만,30억미만,0.64,,2.93,60억미만,40억미만,30억미만,0.89,-31,2.09,부
2005,G46***,11,정밀기기 및 과학기기 도매업,소기업,기타,경기도 성남시,40억미만,30억미만,10억미만,0.95,64.7,1.47,50억미만,40억미만,10억미만,0.56,21.3,2.2,40억미만,30억미만,20억미만,1.5,40.5,1.13,30억미만,20억미만,20억미만,2.99,,0.64,40억미만,30억미만,10억미만,3.92,,0.62,부
2004,C29***,11,기어 및 동력전달장치 제조업,소기업,외감법인,부산 사하구,300억미만,180억미만,120억미만,1.01,38.2,2.24,280억미만,160억미만,120억미만,1.16,35.8,2.08,260억미만,140억미만,120억미만,1.09,32.2,2.22,250억미만,140억미만,120억미만,3.17,,2.7,230억미만,130억미만,110억미만,2.28,25.8,1.97,여
2005,C24***,11,"알루미늄 제련, 정련 및 합금 제조업",중기업,기타,경기도 파주시,160억미만,110억미만,50억미만,3.71,12.3,0.48,130억미만,110억미만,20억미만,3.62,1.32,0.36,140억미만,100억미만,40억미만,4.42,5.74,0.35,110억미만,70억미만,40억미만,6.28,,0.28,120억미만,80억미만,40억미만,2.58,,0.57,부
2003,G46***,11,사무용 가구 및 기기 도매업,소기업,기타,서울특별시 강남구,20억미만,10억미만,10억미만,1.07,39,3.95,20억미만,10억미만,10억미만,5.41,53.2,1.98,20억미만,10억미만,10억미만,2.56,33.3,1.56,20억미만,10억미만,10억미만,2.36,,1.47,20억미만,10억미만,10억미만,1.9,,1.78,부
2000,M72***,11,"기타 기술 시험, 검사 및 분석업",중기업,기타,경기도 하남시,110억미만,50억미만,60억미만,0.63,54.3,3.62,100억미만,40억미만,60억미만,1.17,40.7,2.33,100억미만,40억미만,70억미만,1.23,44.4,2.28,100억미만,40억미만,60억미만,0.94,,2.99,90억미만,40억미만,60억미만,0.64,,4.08,부
1990,C10***,11,기타 과실ㆍ채소 가공 및 저장 처리업,소기업,기타,충남 서산시,40억미만,30억미만,10억미만,2.16,7.78,0.77,40억미만,30억미만,10억미만,2.72,9.25,0.65,40억미만,30억미만,10억미만,3.41,7.57,0.51,30억미만,30억미만,10억미만,3.65,,0.38,30억미만,20억미만,10억미만,2.93,9.72,0.49,부
2002,G46***,11,주류 도매업,중기업,기타,서울특별시 도봉구,40억미만,30억미만,10억미만,4.5,18.1,0.36,40억미만,40억미만,10억미만,5.18,21,0.39,40억미만,30억미만,10억미만,3.74,19,0.48,30억미만,30억미만,10억미만,3.11,18.2,0.6,30억미만,30억미만,10억미만,2.84,17.4,0.56,부
2001,C10***,11,곡물 도정업,소기업,기타,경북 안동시,120억미만,90억미만,30억미만,0.81,20.9,2.21,110억미만,80억미만,30억미만,1.08,20.8,1.66,120억미만,90억미만,30억미만,0.96,25.9,1.99,110억미만,80억미만,30억미만,1.19,,1.56,90억미만,60억미만,30억미만,1.48,,1.12,부
2005,C29***,11,그 외 기타 특수목적용 기계 제조업,소기업,기타,경기 안성시,90억미만,50억미만,40억미만,1.61,22.9,1.45,90억미만,60억미만,40억미만,1.01,32.9,2.52,80억미만,50억미만,40억미만,1.24,21.8,1.8,90억미만,50억미만,40억미만,0.64,,3.5,90억미만,60억미만,30억미만,0.86,,2.81,부
2005,C29***,11,컨베이어장치 제조업,소기업,기타,경남 양산시,80억미만,70억미만,20억미만,0.45,37.3,2.92,80억미만,60억미만,20억미만,0.55,34.5,2.44,40억미만,30억미만,20억미만,1.26,37.3,1.48,40억미만,30억미만,20억미만,1.39,,1.32,40억미만,30억미만,20억미만,1.33,,1.33,부
2003,F42***,11,토공사업,소기업,기타,경기도 용인시,40억미만,10억미만,30억미만,6.46,43.9,0.79,30억미만,10억미만,30억미만,2.99,57.5,1.5,30억미만,10억미만,30억미만,10,51.1,0.6,30억미만,10억미만,20억미만,5.15,,0.96,20억미만,10억미만,20억미만,4.73,,0.94,부
2005,G46***,11,남녀용 겉옷 및 셔츠 도매업,중기업,기타,서울특별시 성동구,50억미만,30억미만,20억미만,1.89,19,1.05,50억미만,30억미만,20억미만,3.25,9.35,0.6,60억미만,40억미만,20억미만,3.5,12,0.5,60억미만,50억미만,20억미만,2.93,11,0.61,50억미만,40억미만,20억미만,3.78,,0.59,부
1998,C26***,11,비디오 및 기타 영상기기 제조업,중기업,외감법인,서울 강남구,500억미만,390억미만,120억미만,16.2,5.33,0.46,490억미만,380억미만,120억미만,11.8,7.37,0.47,420억미만,330억미만,90억미만,16.4,4.29,0.34,280억미만,210억미만,80억미만,6.94,,0.72,160억미만,100억미만,60억미만,8.43,,0.77,부
2004,C10***,11,기타 식사용 가공처리 조리식품 제조업,중기업,기타,경기도 양평군,100억미만,70억미만,30억미만,3.24,19.5,0.52,90억미만,70억미만,20억미만,2.83,14.9,0.56,60억미만,50억미만,20억미만,4.92,12.1,0.39,50억미만,40억미만,20억미만,6.02,,0.34,30억미만,30억미만,10억미만,6.5,,0.23,여
2005,C26***,11,컴퓨터 프린터 제조업,소기업,기타,경기 화성시,70억미만,50억미만,30억미만,0.91,24,1.98,80억미만,50억미만,30억미만,0.8,29.1,2.25,70억미만,50억미만,30억미만,1.02,47.7,1.85,110억미만,70억미만,40억미만,0.72,,2.75,100억미만,70억미만,40억미만,0.63,,2.67,부
2005,F41***,11,기타 토목시설물 건설업,중기업,기타,경남 창원시,120억미만,40억미만,80억미만,5.04,22.9,0.67,120억미만,40억미만,80억미만,7.59,21,0.61,120억미만,30억미만,90억미만,12.4,22.6,0.55,120억미만,40억미만,90억미만,8.03,,0.65,120억미만,40억미만,90억미만,6.6,,0.71,부
2005,G46***,11,벽지 및 장판류 도매업,중기업,기타,경기 고양시,20억미만,10억미만,20억미만,12.6,17.1,0.52,30억미만,10억미만,20억미만,12.6,20.5,0.57,30억미만,10억미만,20억미만,7.12,15.1,0.5,30억미만,20억미만,20억미만,5.84,,0.5,30억미만,20억미만,20억미만,7.95,,0.44,부
2001,C10***,11,기타 과실ㆍ채소 가공 및 저장 처리업,소기업,기타,경기 남양주시,180억미만,150억미만,40억미만,3.86,19.3,0.63,150억미만,130억미만,30억미만,3.59,22,0.59,140억미만,100억미만,50억미만,2.92,22.2,0.64,120억미만,70억미만,50억미만,3.77,,0.55,110억미만,70억미만,40억미만,2.42,,0.72,여
1999,F41***,11,기타 토목시설물 건설업,소기업,기타,경상북도 경주시,90억미만,30억미만,60억미만,9.37,37.9,0.91,70억미만,20억미만,60억미만,5.65,34.6,1.24,70억미만,10억미만,60억미만,13.1,41.1,1.05,70억미만,20억미만,60억미만,13.3,,0.82,60억미만,20억미만,50억미만,19.4,27.7,0.42,부
2003,C28***,11,기타 절연선 및 케이블 제조업,중기업,외감법인,충남 천안시,310억미만,120억미만,190억미만,10.9,9.25,0.29,280억미만,130억미만,150억미만,9.51,8.3,0.28,280억미만,150억미만,140억미만,7.96,7.39,0.29,310억미만,190억미만,120억미만,4.61,,0.42,300억미만,190억미만,120억미만,2.89,5.03,0.61,여
2005,C10***,11,육류 포장육 및 냉동육 가공업 (가금류 제외),소기업,기타,제주특별자치도 제주시,40억미만,20억미만,30억미만,6.56,13.6,0.59,40억미만,20억미만,30억미만,6.13,13.7,0.56,50억미만,30억미만,30억미만,5.28,10.5,0.45,50억미만,30억미만,20억미만,3.23,,0.64,40억미만,30억미만,20억미만,3.65,,0.59,부
2005,C30***,11,그 외 자동차용 신품 부품 제조업,중기업,기타,경북 경주시,130억미만,90억미만,50억미만,5.4,18.1,0.48,130억미만,110억미만,30억미만,4.14,19.5,0.51,160억미만,110억미만,50억미만,6.74,12.1,0.38,90억미만,70억미만,20억미만,7.03,-1.1,0.28,100억미만,70억미만,40억미만,3.2,15.2,0.64,부
2006,G46***,11,기타 가공식품 도매업,중기업,기타,서울 송파구,270억미만,180억미만,90억미만,3.39,13.2,0.74,160억미만,110억미만,50억미만,13.2,12.9,0.43,110억미만,70억미만,50억미만,10.2,10.5,0.33,100억미만,60억미만,50억미만,9.7,,0.33,100억미만,60억미만,40억미만,10,10.2,0.34,여
2002,G45***,11,모터사이클 및 부품 도매업,소기업,기타,부산 동구,30억미만,20억미만,10억미만,1.38,15.7,1.1,30억미만,20억미만,10억미만,1.36,14.7,1.06,30억미만,20억미만,10억미만,2.38,10.6,0.62,20억미만,20억미만,10억미만,2.66,,0.55,30억미만,30억미만,10억미만,1.61,10,0.84,부
2005,C20***,11,혼성 및 재생 플라스틱 소재 물질 제조업,소기업,기타,충청북도 진천군,40억미만,30억미만,20억미만,1.4,22.7,1.22,50억미만,30억미만,20억미만,1.66,24.7,1.03,40억미만,30억미만,20억미만,1.92,31.4,1.04,40억미만,30억미만,20억미만,2.36,28.4,0.84,30억미만,20억미만,20억미만,2.77,,0.76,부
2001,G45***,11,중고 자동차 판매업,소기업,기타,서울 송파구,20억미만,20억미만,10억미만,2.27,3.43,0.56,20억미만,20억미만,10억미만,3.97,-7.5,0.32,30억미만,20억미만,10억미만,1.67,3.5,0.96,30억미만,20억미만,10억미만,5.34,,0.98,30억미만,20억미만,10억미만,1.3,,1.19,부
2003,Q86***,11,요양 병원,중기업,기타,경상북도 안동시,290억미만,210억미만,80억미만,4.05,56.6,0.56,290억미만,210억미만,90억미만,2.37,64.5,0.73,280억미만,200억미만,80억미만,2,66,0.82,260억미만,190억미만,70억미만,2.2,,0.77,220억미만,160억미만,70억미만,2.55,,0.7,여
2005,G46***,11,1차 금속제품 도매업,중기업,기타,경기도 이천시,150억미만,110억미만,50억미만,3.33,4.59,0.54,150억미만,110억미만,50억미만,3.66,5.5,0.53,150억미만,120억미만,40억미만,31.5,1.32,0.24,60억미만,20억미만,40억미만,44.2,,0.19,80억미만,50억미만,40억미만,5.67,,0.42,부
2003,C10***,11,육류 포장육 및 냉동육 가공업 (가금류 제외),중기업,기타,제주특별자치도 제주시,140억미만,90억미만,60억미만,2.42,10.7,0.76,140억미만,90억미만,60억미만,3.21,14.3,0.58,120억미만,70억미만,50억미만,4.48,10.4,0.5,110억미만,70억미만,50억미만,3.57,,0.55,110억미만,70억미만,50억미만,2.98,,0.6,부
2005,G46***,11,원목 및 건축관련 목제품 도매업,소기업,기타,경기 하남시,20억미만,10억미만,10억미만,13.6,14.3,0.49,10억미만,10억미만,10억미만,61.8,13.6,0.36,10억미만,10억미만,10억미만,26.8,18.2,0.34,10억미만,10억미만,10억미만,4.94,,0.39,20억미만,20억미만,10억미만,2.09,6.46,0.73,여
2005,G46***,11,그 외 기타 생활용품 도매업,소기업,기타,서울특별시 강동구,30억미만,20억미만,20억미만,9.13,25.1,0.86,20억미만,10억미만,20억미만,5.82,30.1,1.02,30억미만,10억미만,20억미만,5.29,29,1.21,20억미만,10억미만,20억미만,8.33,,1.05,20억미만,10억미만,20억미만,13.8,,1.18,여
2006,C25***,11,그 외 금속 압형제품 제조업,중기업,외감법인,인천광역시 미추홀구,220억미만,130억미만,90억미만,0.89,35.3,2.06,150억미만,130억미만,30억미만,0.73,31.5,1.75,150억미만,120억미만,40억미만,0.86,31.5,1.6,150억미만,120억미만,40억미만,0.93,,1.55,140억미만,100억미만,40억미만,0.87,,1.62,부
1997,C22***,11,플라스틱 접착처리 제품 제조업,소기업,기타,경기 파주시,50억미만,30억미만,20억미만,0.73,36.9,2.7,50억미만,30억미만,20억미만,0.73,41.3,2.79,50억미만,40억미만,20억미만,0.6,39.1,2.99,50억미만,40억미만,20억미만,0.76,,2.44,50억미만,30억미만,20억미만,0.94,,2.12,부
